nFrame,time,TOY.ordinal,TOY.onset,TOY.offset,TOY.code01,LOOKING.ordinal,LOOKING.onset,LOOKING.offset,LOOKING.code01,
1,3556176,1,3556176,3691229,"RING",1,3556176,3691229,"1",
2,3556216,1,3556176,3691229,"RING",1,3556176,3691229,"1",
3,3556256,1,3556176,3691229,"RING",1,3556176,3691229,"1",
4,3556296,1,3556176,3691229,"RING",1,3556176,3691229,"1",
5,3556336,1,3556176,3691229,"RING",1,3556176,3691229,"1",
6,3556376,1,3556176,3691229,"RING",1,3556176,3691229,"1",
7,3556416,1,3556176,3691229,"RING",1,3556176,3691229,"1",
8,3556456,1,3556176,3691229,"RING",1,3556176,3691229,"1",
9,3556496,1,3556176,3691229,"RING",1,3556176,3691229,"1",
10,3556536,1,3556176,3691229,"RING",1,3556176,3691229,"1",
11,3556576,1,3556176,3691229,"RING",1,3556176,3691229,"1",
12,3556616,1,3556176,3691229,"RING",1,3556176,3691229,"1",
13,3556656,1,3556176,3691229,"RING",1,3556176,3691229,"1",
14,3556696,1,3556176,3691229,"RING",1,3556176,3691229,"1",
15,3556736,1,3556176,3691229,"RING",1,3556176,3691229,"1",
16,3556776,1,3556176,3691229,"RING",1,3556176,3691229,"1",
17,3556816,1,3556176,3691229,"RING",1,3556176,3691229,"1",
18,3556856,1,3556176,3691229,"RING",1,3556176,3691229,"1",
19,3556896,1,3556176,3691229,"RING",1,3556176,3691229,"1",
20,3556936,1,3556176,3691229,"RING",1,3556176,3691229,"1",
21,3556976,1,3556176,3691229,"RING",1,3556176,3691229,"1",
22,3557016,1,3556176,3691229,"RING",1,3556176,3691229,"1",
23,3557056,1,3556176,3691229,"RING",1,3556176,3691229,"1",
24,3557096,1,3556176,3691229,"RING",1,3556176,3691229,"1",
25,3557136,1,3556176,3691229,"RING",1,3556176,3691229,"1",
26,3557176,1,3556176,3691229,"RING",1,3556176,3691229,"1",
27,3557216,1,3556176,3691229,"RING",1,3556176,3691229,"1",
28,3557256,1,3556176,3691229,"RING",1,3556176,3691229,"1",
29,3557296,1,3556176,3691229,"RING",1,3556176,3691229,"1",
30,3557336,1,3556176,3691229,"RING",1,3556176,3691229,"1",
31,3557376,1,3556176,3691229,"RING",1,3556176,3691229,"1",
32,3557416,1,3556176,3691229,"RING",1,3556176,3691229,"1",
33,3557456,1,3556176,3691229,"RING",1,3556176,3691229,"1",
34,3557496,1,3556176,3691229,"RING",1,3556176,3691229,"1",
35,3557536,1,3556176,3691229,"RING",1,3556176,3691229,"1",
36,3557576,1,3556176,3691229,"RING",1,3556176,3691229,"1",
37,3557616,1,3556176,3691229,"RING",1,3556176,3691229,"1",
38,3557656,1,3556176,3691229,"RING",1,3556176,3691229,"1",
39,3557696,1,3556176,3691229,"RING",1,3556176,3691229,"1",
40,3557736,1,3556176,3691229,"RING",1,3556176,3691229,"1",
41,3557776,1,3556176,3691229,"RING",1,3556176,3691229,"1",
42,3557816,1,3556176,3691229,"RING",1,3556176,3691229,"1",
43,3557856,1,3556176,3691229,"RING",1,3556176,3691229,"1",
44,3557896,1,3556176,3691229,"RING",1,3556176,3691229,"1",
45,3557936,1,3556176,3691229,"RING",1,3556176,3691229,"1",
46,3557976,1,3556176,3691229,"RING",1,3556176,3691229,"1",
47,3558016,1,3556176,3691229,"RING",1,3556176,3691229,"1",
48,3558056,1,3556176,3691229,"RING",1,3556176,3691229,"1",
49,3558096,1,3556176,3691229,"RING",1,3556176,3691229,"1",
50,3558136,1,3556176,3691229,"RING",1,3556176,3691229,"1",
51,3558176,1,3556176,3691229,"RING",1,3556176,3691229,"1",
52,3558216,1,3556176,3691229,"RING",1,3556176,3691229,"1",
53,3558256,1,3556176,3691229,"RING",1,3556176,3691229,"1",
54,3558296,1,3556176,3691229,"RING",1,3556176,3691229,"1",
55,3558336,1,3556176,3691229,"RING",1,3556176,3691229,"1",
56,3558376,1,3556176,3691229,"RING",1,3556176,3691229,"1",
57,3558416,1,3556176,3691229,"RING",1,3556176,3691229,"1",
58,3558456,1,3556176,3691229,"RING",1,3556176,3691229,"1",
59,3558496,1,3556176,3691229,"RING",1,3556176,3691229,"1",
60,3558536,1,3556176,3691229,"RING",1,3556176,3691229,"1",
61,3558576,1,3556176,3691229,"RING",1,3556176,3691229,"1",
62,3558616,1,3556176,3691229,"RING",1,3556176,3691229,"1",
63,3558656,1,3556176,3691229,"RING",1,3556176,3691229,"1",
64,3558696,1,3556176,3691229,"RING",1,3556176,3691229,"1",
65,3558736,1,3556176,3691229,"RING",1,3556176,3691229,"1",
66,3558776,1,3556176,3691229,"RING",1,3556176,3691229,"1",
67,3558816,1,3556176,3691229,"RING",1,3556176,3691229,"1",
68,3558856,1,3556176,3691229,"RING",1,3556176,3691229,"1",
69,3558896,1,3556176,3691229,"RING",1,3556176,3691229,"1",
70,3558936,1,3556176,3691229,"RING",1,3556176,3691229,"1",
71,3558976,1,3556176,3691229,"RING",1,3556176,3691229,"1",
72,3559016,1,3556176,3691229,"RING",1,3556176,3691229,"1",
73,3559056,1,3556176,3691229,"RING",1,3556176,3691229,"1",
74,3559096,1,3556176,3691229,"RING",1,3556176,3691229,"1",
75,3559136,1,3556176,3691229,"RING",1,3556176,3691229,"1",
76,3559176,1,3556176,3691229,"RING",1,3556176,3691229,"1",
77,3559216,1,3556176,3691229,"RING",1,3556176,3691229,"1",
78,3559256,1,3556176,3691229,"RING",1,3556176,3691229,"1",
79,3559296,1,3556176,3691229,"RING",1,3556176,3691229,"1",
80,3559336,1,3556176,3691229,"RING",1,3556176,3691229,"1",
81,3559376,1,3556176,3691229,"RING",1,3556176,3691229,"1",
82,3559416,1,3556176,3691229,"RING",1,3556176,3691229,"1",
83,3559456,1,3556176,3691229,"RING",1,3556176,3691229,"1",
84,3559496,1,3556176,3691229,"RING",1,3556176,3691229,"1",
85,3559536,1,3556176,3691229,"RING",1,3556176,3691229,"1",
86,3559576,1,3556176,3691229,"RING",1,3556176,3691229,"1",
87,3559616,1,3556176,3691229,"RING",1,3556176,3691229,"1",
88,3559656,1,3556176,3691229,"RING",1,3556176,3691229,"1",
89,3559696,1,3556176,3691229,"RING",1,3556176,3691229,"1",
90,3559736,1,3556176,3691229,"RING",1,3556176,3691229,"1",
91,3559776,1,3556176,3691229,"RING",1,3556176,3691229,"1",
92,3559816,1,3556176,3691229,"RING",1,3556176,3691229,"1",
93,3559856,1,3556176,3691229,"RING",1,3556176,3691229,"1",
94,3559896,1,3556176,3691229,"RING",1,3556176,3691229,"1",
95,3559936,1,3556176,3691229,"RING",1,3556176,3691229,"1",
96,3559976,1,3556176,3691229,"RING",1,3556176,3691229,"1",
97,3560016,1,3556176,3691229,"RING",1,3556176,3691229,"1",
98,3560056,1,3556176,3691229,"RING",1,3556176,3691229,"1",
99,3560096,1,3556176,3691229,"RING",1,3556176,3691229,"1",
100,3560136,1,3556176,3691229,"RING",1,3556176,3691229,"1",
101,3560176,1,3556176,3691229,"RING",1,3556176,3691229,"1",
102,3560216,1,3556176,3691229,"RING",1,3556176,3691229,"1",
103,3560256,1,3556176,3691229,"RING",1,3556176,3691229,"1",
104,3560296,1,3556176,3691229,"RING",1,3556176,3691229,"1",
105,3560336,1,3556176,3691229,"RING",1,3556176,3691229,"1",
106,3560376,1,3556176,3691229,"RING",1,3556176,3691229,"1",
107,3560416,1,3556176,3691229,"RING",1,3556176,3691229,"1",
108,3560456,1,3556176,3691229,"RING",1,3556176,3691229,"1",
109,3560496,1,3556176,3691229,"RING",1,3556176,3691229,"1",
110,3560536,1,3556176,3691229,"RING",1,3556176,3691229,"1",
111,3560576,1,3556176,3691229,"RING",1,3556176,3691229,"1",
112,3560616,1,3556176,3691229,"RING",1,3556176,3691229,"1",
113,3560656,1,3556176,3691229,"RING",1,3556176,3691229,"1",
114,3560696,1,3556176,3691229,"RING",1,3556176,3691229,"1",
115,3560736,1,3556176,3691229,"RING",1,3556176,3691229,"1",
