nFrame,time,Paradigm.ordinal,Paradigm.onset,Paradigm.offset,Paradigm.code01,Looking.ordinal,Looking.onset,Looking.offset,Looking.code01,
83,363629,1,360431,485603,"RING STACKER",3,361825,368097,"1",
84,363668,1,360431,485603,"RING STACKER",3,361825,368097,"1",
85,363707,1,360431,485603,"RING STACKER",3,361825,368097,"1",
86,363746,1,360431,485603,"RING STACKER",3,361825,368097,"1",
87,363785,1,360431,485603,"RING STACKER",3,361825,368097,"1",
88,363824,1,360431,485603,"RING STACKER",3,361825,368097,"1",
89,363863,1,360431,485603,"RING STACKER",3,361825,368097,"1",
90,363902,1,360431,485603,"RING STACKER",3,361825,368097,"1",
91,363941,1,360431,485603,"RING STACKER",3,361825,368097,"1",
92,363980,1,360431,485603,"RING STACKER",3,361825,368097,"1",
93,364019,1,360431,485603,"RING STACKER",3,361825,368097,"1",
94,364058,1,360431,485603,"RING STACKER",3,361825,368097,"1",
95,364097,1,360431,485603,"RING STACKER",3,361825,368097,"1",
96,364136,1,360431,485603,"RING STACKER",3,361825,368097,"1",
97,364175,1,360431,485603,"RING STACKER",3,361825,368097,"1",
98,364214,1,360431,485603,"RING STACKER",3,361825,368097,"1",
99,364253,1,360431,485603,"RING STACKER",3,361825,368097,"1",
100,364292,1,360431,485603,"RING STACKER",3,361825,368097,"1",
101,364331,1,360431,485603,"RING STACKER",3,361825,368097,"1",
102,364370,1,360431,485603,"RING STACKER",3,361825,368097,"1",
103,364409,1,360431,485603,"RING STACKER",3,361825,368097,"1",
104,364448,1,360431,485603,"RING STACKER",3,361825,368097,"1",
105,364487,1,360431,485603,"RING STACKER",3,361825,368097,"1",
106,364526,1,360431,485603,"RING STACKER",3,361825,368097,"1",
107,364565,1,360431,485603,"RING STACKER",3,361825,368097,"1",
108,364604,1,360431,485603,"RING STACKER",3,361825,368097,"1",
109,364643,1,360431,485603,"RING STACKER",3,361825,368097,"1",
110,364682,1,360431,485603,"RING STACKER",3,361825,368097,"1",
111,364721,1,360431,485603,"RING STACKER",3,361825,368097,"1",
112,364760,1,360431,485603,"RING STACKER",3,361825,368097,"1",
113,364799,1,360431,485603,"RING STACKER",3,361825,368097,"1",
114,364838,1,360431,485603,"RING STACKER",3,361825,368097,"1",
