nFrame,time,Paradigm.ordinal,Paradigm.onset,Paradigm.offset,Paradigm.code01,Looking.ordinal,Looking.onset,Looking.offset,Looking.code01,
1,3556217,1,3556217,3691188,"RING STACKER",1,3556217,3584219,"1",
2,3556257,1,3556217,3691188,"RING STACKER",1,3556217,3584219,"1",
3,3556297,1,3556217,3691188,"RING STACKER",1,3556217,3584219,"1",
4,3556337,1,3556217,3691188,"RING STACKER",1,3556217,3584219,"1",
5,3556377,1,3556217,3691188,"RING STACKER",1,3556217,3584219,"1",
6,3556417,1,3556217,3691188,"RING STACKER",1,3556217,3584219,"1",
7,3556457,1,3556217,3691188,"RING STACKER",1,3556217,3584219,"1",
8,3556497,1,3556217,3691188,"RING STACKER",1,3556217,3584219,"1",
9,3556537,1,3556217,3691188,"RING STACKER",1,3556217,3584219,"1",
10,3556577,1,3556217,3691188,"RING STACKER",1,3556217,3584219,"1",
11,3556617,1,3556217,3691188,"RING STACKER",1,3556217,3584219,"1",
12,3556657,1,3556217,3691188,"RING STACKER",1,3556217,3584219,"1",
13,3556697,1,3556217,3691188,"RING STACKER",1,3556217,3584219,"1",
14,3556737,1,3556217,3691188,"RING STACKER",1,3556217,3584219,"1",
15,3556777,1,3556217,3691188,"RING STACKER",1,3556217,3584219,"1",
16,3556817,1,3556217,3691188,"RING STACKER",1,3556217,3584219,"1",
17,3556857,1,3556217,3691188,"RING STACKER",1,3556217,3584219,"1",
18,3556897,1,3556217,3691188,"RING STACKER",1,3556217,3584219,"1",
19,3556937,1,3556217,3691188,"RING STACKER",1,3556217,3584219,"1",
20,3556977,1,3556217,3691188,"RING STACKER",1,3556217,3584219,"1",
21,3557017,1,3556217,3691188,"RING STACKER",1,3556217,3584219,"1",
22,3557057,1,3556217,3691188,"RING STACKER",1,3556217,3584219,"1",
23,3557097,1,3556217,3691188,"RING STACKER",1,3556217,3584219,"1",
24,3557137,1,3556217,3691188,"RING STACKER",1,3556217,3584219,"1",
25,3557177,1,3556217,3691188,"RING STACKER",1,3556217,3584219,"1",
26,3557217,1,3556217,3691188,"RING STACKER",1,3556217,3584219,"1",
27,3557257,1,3556217,3691188,"RING STACKER",1,3556217,3584219,"1",
28,3557297,1,3556217,3691188,"RING STACKER",1,3556217,3584219,"1",
29,3557337,1,3556217,3691188,"RING STACKER",1,3556217,3584219,"1",
30,3557377,1,3556217,3691188,"RING STACKER",1,3556217,3584219,"1",
31,3557417,1,3556217,3691188,"RING STACKER",1,3556217,3584219,"1",
32,3557457,1,3556217,3691188,"RING STACKER",1,3556217,3584219,"1",
33,3557497,1,3556217,3691188,"RING STACKER",1,3556217,3584219,"1",
34,3557537,1,3556217,3691188,"RING STACKER",1,3556217,3584219,"1",
35,3557577,1,3556217,3691188,"RING STACKER",1,3556217,3584219,"1",
