k,inertia,silhouette,calinski_harabasz,davies_bouldin,mean_subsample_ARI,p10_subsample_ARI,smallest_cluster_n,smallest_cluster_pct
2,1067.3864642881158,0.18026288270369922,29.321288168766877,1.9700432594850696,0.7036250761083633,0.4352043012040668,47,35.87786259541985
3,949.2256255218385,0.14346927045311092,24.324627723686667,1.9540419400232498,0.8060682562235486,0.5336361041069794,9,6.870229007633588
4,869.3397049380525,0.11784863355041755,21.458377032200236,1.9538083181857628,0.7418749696141761,0.45432024448420577,9,6.870229007633588
5,811.1540246084788,0.12229833592384398,19.37196604851643,1.8767029966342967,0.5762475800677284,0.4123854322646796,9,6.870229007633588
6,765.4473353036035,0.12703562729530155,17.785438644201687,1.7864894875657333,0.5550863764220778,0.39811724366648865,5,3.816793893129771
