measure,cluster,n,mean,sd,median,q1,q3,mean_pct_of_possible_range,mann_whitney_p
Verified objective knowledge,Higher acceptability,77,3.896103896103896,1.569314429468248,4.0,3.0,5.0,55.65862708719852,0.09920155837872409
Verified objective knowledge,Conditional acceptability,46,3.4130434782608696,1.7201561551404665,4.0,2.0,4.0,48.757763975155285,0.09920155837872409
8-item sensitivity: Before 1 year correct,Higher acceptability,77,4.1688311688311686,1.6335511639772753,5.0,3.0,5.0,52.1103896103896,0.06379886042316961
8-item sensitivity: Before 1 year correct,Conditional acceptability,46,3.608695652173913,1.7317718719349615,4.0,2.25,5.0,45.108695652173914,0.06379886042316961
8-item sensitivity: 1–2 years correct,Higher acceptability,77,4.324675324675325,1.6418984394000042,5.0,3.0,5.0,54.05844155844156,0.22801026814803127
8-item sensitivity: 1–2 years correct,Conditional acceptability,46,3.9565217391304346,1.8006976640443244,4.0,3.0,5.0,49.45652173913043,0.22801026814803127
Self-rated knowledge,Higher acceptability,84,3.488095238095238,0.8848667127054557,3.0,3.0,4.0,62.202380952380956,0.7517911952758797
Self-rated knowledge,Conditional acceptability,47,3.5106382978723403,0.7481089325914554,4.0,3.0,4.0,62.76595744680851,0.7517911952758797
