profile,n,% of sample,screen now or earlier (%),wait (%),decline (%),ASD household (%),autism knowledge (0-8),self-rated knowledge (1-5)
"Ready and Willing, ethically confident",63,58.88,84.13,15.87,0.0,46.03,4.29,3.49
"Hesitant, ethically uncertain",44,41.12,34.09,59.09,6.82,43.18,3.68,3.43
