,caregivers (n),% of analytic sample,Ethical & moral acceptability (std),Emotional comfort (vs concern) (std),Practical feasibility (std),Procedure acceptability (std),Result trust & low regret (std),Willingness to screen (std),Ethical & moral acceptability (raw mean),Emotional comfort (vs concern) (raw mean),Practical feasibility (raw mean),Procedure acceptability (raw mean),Result trust & low regret (raw mean),Willingness to screen (raw mean)
"Ready and Willing, ethically confident",63,58.879,0.449,0.216,0.263,0.266,0.241,0.515,5.024,3.865,3.204,5.562,5.728,3.762
"Hesitant, ethically uncertain",44,41.121,-0.643,-0.309,-0.377,-0.381,-0.345,-0.737,3.841,3.292,2.727,4.62,4.795,2.455
