profile,valid_n_unweighted,bch_weight_sum,bch_definitely_yes_pct,modal_definitely_yes_pct
Higher acceptability,127,108.0,58.333333333333336,58.333333333333336
Conditional acceptability,127,18.925498729436242,31.45114318104627,31.57894736842105
