excluded_no_records_added_to_higher,excluded_no_records_added_to_conditional,screen_gap_pp
0,4,44.509803921568626
1,3,43.1358024691358
2,2,41.76207068193131
3,1,40.386546184738954
4,0,39.00709219858155
