profile,n_pct,mean_TFA_acceptability_0_100,definitely_yes_screen,verified_knowledge_0_7,defining_TFA_dimensions,decision_use
Higher acceptability,84 (64.1%),78.68590298773832,56/80 (70.0%),3.90 (n=77),"Positive affect / clinical trust, Blood-test openness, Ethical / moral support",Maintain a low-burden pathway and make enrollment/action steps immediate.
Conditional acceptability,47 (35.9%),59.19966509062253,13/47 (27.7%),3.41 (n=46),"Positive affect / clinical trust, Blood-test openness, Ethical / moral support","Reduce visit burden; reinforce trust, choice, accuracy transparency, and ethical safeguards."
