cluster,cluster_total_n,valid_n,missing_n,no_probably_not_unsure_n,no_probably_not_unsure_pct,probably_n,probably_pct,definitely_yes_n,definitely_yes_pct,wilson_low_pct,wilson_high_pct,probably_or_definitely_yes_n,probably_or_definitely_yes_pct
Higher acceptability,84,80,4,8,10.0,16,20.0,56,70.0,59.23163971203269,78.93557083738429,72,90.0
Conditional acceptability,47,47,0,19,40.42553191489361,15,31.914893617021278,13,27.659574468085108,16.936405991152938,41.758835700689964,28,59.57446808510638
