definition,input_n,clusterable_n,silhouette_k2,higher_n,conditional_n,screen_gap_pp,screen_gap_ci_low_pp,screen_gap_ci_high_pp,ari_vs_status_quo,cluster_firth_or,cluster_firth_ci_low,cluster_firth_ci_high
1. 4797 Tier 4 only,120,117,0.16191522043979806,67,50,44.67948717948718,18.86943886601,64.74052887781748,0.684358372456964,7.389398977289521,3.176210689375613,18.526800842375916
2. 4797 Tiers 3+4,132,128,0.18084891195261033,84,44,48.52272727272727,23.546804350136146,67.17140316141865,0.9685192287611167,11.089397992694211,4.509229875889003,30.789523747765248
3. 4797 status quo,135,131,0.18026288270369922,84,47,42.34042553191489,17.472804011342724,61.99916484623136,1.0,8.090770688269506,3.4657162460754436,20.796182876315598
4. 4797 Tiers 3+4 + 4581 Tier 4,202,177,0.2382553282110436,138,39,45.687645687645684,22.483608499869632,62.37234269961649,0.5236861065425111,8.269949159348009,3.5645740951568827,21.567959029278857
5. 4581 Tier 4 replication,70,49,0.2475016284277125,39,10,52.16216216216216,5.684504003062751,74.14863758453687,,9.742657577089238,1.960833237055716,96.76911299546653
