definition,family,measure,higher_n,conditional_n,higher_estimate,conditional_estimate,effect,raw_p,fdr_p
4. 4797 Tiers 3+4 + 4581 Tier 4,knowledge,knowledge_graded_documented_5,94,28,17.159574468085108,16.535714285714285,0.2248758536214774,0.2623431258273625,0.2623431258273625
4. 4797 Tiers 3+4 + 4581 Tier 4,values,conformity_val,138,39,4.811594202898551,4.641025641025641,0.14384128428347345,0.6223448522245695,0.8673710591479544
4. 4797 Tiers 3+4 + 4581 Tier 4,values,tradition_val,138,39,3.5579710144927534,3.4358974358974357,0.06628026747511866,0.7320481096571597,0.8673710591479544
4. 4797 Tiers 3+4 + 4581 Tier 4,values,benevolence_val,138,39,5.471014492753623,5.384615384615385,0.11568322541946383,0.7614777327076214,0.8673710591479544
4. 4797 Tiers 3+4 + 4581 Tier 4,values,universalism_val,138,39,5.405797101449275,5.230769230769231,0.1928172807526738,0.8673710591479544,0.8673710591479544
4. 4797 Tiers 3+4 + 4581 Tier 4,values,self_direction_val,138,39,5.2898550724637685,4.743589743589744,0.578869716913123,0.0035376358826479004,0.03537635882647901
4. 4797 Tiers 3+4 + 4581 Tier 4,values,stimulation_val,138,39,3.579710144927536,3.3333333333333335,0.19129469473638358,0.29435551332921983,0.5887110266584397
4. 4797 Tiers 3+4 + 4581 Tier 4,values,hedonism_val,138,39,4.159420289855072,3.871794871794872,0.23649434095520672,0.2174995175950225,0.5437487939875563
4. 4797 Tiers 3+4 + 4581 Tier 4,values,achievement_val,138,39,3.9782608695652173,3.923076923076923,0.03859845077803198,0.7973712927305023,0.8673710591479544
4. 4797 Tiers 3+4 + 4581 Tier 4,values,power_val,138,39,3.3405797101449277,3.0,0.24327379130304017,0.1610279702832691,0.5367599009442303
4. 4797 Tiers 3+4 + 4581 Tier 4,values,security_val,138,39,4.753623188405797,4.256410256410256,0.4201709624140312,0.061330787003981424,0.3066539350199071
4. 4797 Tiers 3+4 + 4581 Tier 4,demographics,caregiver_age,95,25,38.0,35.0,0.23624983312654274,0.19438161889033134,0.5367226887617313
4. 4797 Tiers 3+4 + 4581 Tier 4,demographics,household_size,131,37,4.0,4.0,0.18552309912167075,0.5367226887617313,0.5367226887617313
4. 4797 Tiers 3+4 + 4581 Tier 4,demographics,number_of_children,138,39,2.0,2.0,-0.028333867146429482,0.5194662689383422,0.5367226887617313
5. 4581 Tier 4 replication,knowledge,knowledge_binary_verified_7,0,0,,,,,
5. 4581 Tier 4 replication,knowledge,knowledge_graded_documented_5,0,0,,,,,
5. 4581 Tier 4 replication,values,conformity_val,39,10,4.794871794871795,4.5,0.23058702700626496,0.651150542604276,0.935711711146812
5. 4581 Tier 4 replication,values,tradition_val,39,10,3.230769230769231,3.5,-0.15099577080078366,0.6549981978027684,0.935711711146812
5. 4581 Tier 4 replication,values,benevolence_val,39,10,5.384615384615385,5.2,0.2539929905206618,0.3233372183130768,0.935711711146812
5. 4581 Tier 4 replication,values,universalism_val,39,10,5.538461538461538,5.4,0.20195636261819286,0.49212489207426435,0.935711711146812
5. 4581 Tier 4 replication,values,self_direction_val,39,10,5.282051282051282,5.0,0.27939644419758286,0.45601854758397087,0.935711711146812
5. 4581 Tier 4 replication,values,stimulation_val,39,10,3.8461538461538463,3.5,0.2479848027167084,0.5513245534557843,0.935711711146812
5. 4581 Tier 4 replication,values,hedonism_val,39,10,3.9743589743589745,4.0,-0.02215146451000906,0.9590498902814845,0.9590498902814846
5. 4581 Tier 4 replication,values,achievement_val,39,10,4.3076923076923075,4.1,0.15425169291379748,0.7796654534072002,0.9541473243151609
5. 4581 Tier 4 replication,values,power_val,39,10,3.3846153846153846,3.3,0.062074698529226924,0.8587325918836449,0.9541473243151609
5. 4581 Tier 4 replication,values,security_val,39,10,5.051282051282051,4.0,0.9016260753680053,0.04125359846181222,0.41253598461812224
5. 4581 Tier 4 replication,demographics,caregiver_age,0,0,,,,,
5. 4581 Tier 4 replication,demographics,household_size,36,10,4.0,4.0,0.15257923607235463,1.0,1.0
5. 4581 Tier 4 replication,demographics,number_of_children,39,10,2.0,2.0,-0.002762560569023809,0.8842005195104388,1.0
